20131211 000000;1782.22;1782.22;1782.22;1782.22;000;
20131210 000000;1802.62;1802.62;1802.62;1802.62;000;
20131209 000000;1808.37;1808.37;1808.37;1808.37;000;
20131206 000000;1805.09;1805.09;1805.09;1805.09;000;
20131205 000000;1785.03;1785.03;1785.03;1785.03;000;
20131204 000000;1792.81;1792.81;1792.81;1792.81;000;
20131203 000000;1795.15;1795.15;1795.15;1795.15;000;
20131202 000000;1800.90;1800.90;1800.90;1800.90;000;
20131129 000000;1805.81;1805.81;1805.81;1805.81;000;
20131127 000000;1807.23;1807.23;1807.23;1807.23;000;
20131126 000000;1802.75;1802.75;1802.75;1802.75;000;
20131125 000000;1802.48;1802.48;1802.48;1802.48;000;
20131122 000000;1804.76;1804.76;1804.76;1804.76;000;
20131121 000000;1795.85;1795.85;1795.85;1795.85;000;
20131120 000000;1781.37;1781.37;1781.37;1781.37;000;
20131119 000000;1787.87;1787.87;1787.87;1787.87;000;
20131118 000000;1791.53;1791.53;1791.53;1791.53;000;
20131115 000000;1798.18;1798.18;1798.18;1798.18;000;
20131114 000000;1790.62;1790.62;1790.62;1790.62;000;
20131113 000000;1782.00;1782.00;1782.00;1782.00;000;
20131112 000000;1767.69;1767.69;1767.69;1767.69;000;
20131111 000000;1771.89;1771.89;1771.89;1771.89;000;
20131108 000000;1770.61;1770.61;1770.61;1770.61;000;
20131107 000000;1747.15;1747.15;1747.15;1747.15;000;
20131106 000000;1770.49;1770.49;1770.49;1770.49;000;
20131105 000000;1762.97;1762.97;1762.97;1762.97;000;
20131104 000000;1767.93;1767.93;1767.93;1767.93;000;
20131101 000000;1761.64;1761.64;1761.64;1761.64;000;
20131031 000000;1756.54;1756.54;1756.54;1756.54;000;
20131030 000000;1763.31;1763.31;1763.31;1763.31;000;
20131029 000000;1771.95;1771.95;1771.95;1771.95;000;
20131028 000000;1762.11;1762.11;1762.11;1762.11;000;
20131025 000000;1759.77;1759.77;1759.77;1759.77;000;
20131024 000000;1752.07;1752.07;1752.07;1752.07;000;
20131023 000000;1746.38;1746.38;1746.38;1746.38;000;
20131022 000000;1754.67;1754.67;1754.67;1754.67;000;
20131021 000000;1744.66;1744.66;1744.66;1744.66;000;
20131018 000000;1744.50;1744.50;1744.50;1744.50;000;
20131017 000000;1733.15;1733.15;1733.15;1733.15;000;
20131016 000000;1721.54;1721.54;1721.54;1721.54;000;
20131015 000000;1698.06;1698.06;1698.06;1698.06;000;
20131014 000000;1710.14;1710.14;1710.14;1710.14;000;
20131011 000000;1703.20;1703.20;1703.20;1703.20;000;
20131010 000000;1692.56;1692.56;1692.56;1692.56;000;
20131009 000000;1656.40;1656.40;1656.40;1656.40;000;
20131008 000000;1655.45;1655.45;1655.45;1655.45;000;
20131007 000000;1676.12;1676.12;1676.12;1676.12;000;
20131004 000000;1690.50;1690.50;1690.50;1690.50;000;
20131003 000000;1678.66;1678.66;1678.66;1678.66;000;
20131002 000000;1693.87;1693.87;1693.87;1693.87;000;
20131001 000000;1695.00;1695.00;1695.00;1695.00;000;
20130930 000000;1681.55;1681.55;1681.55;1681.55;000;
20130927 000000;1691.75;1691.75;1691.75;1691.75;000;
20130926 000000;1698.67;1698.67;1698.67;1698.67;000;
20130925 000000;1692.77;1692.77;1692.77;1692.77;000;
20130924 000000;1697.42;1697.42;1697.42;1697.42;000;
20130923 000000;1701.84;1701.84;1701.84;1701.84;000;
20130920 000000;1709.91;1709.91;1709.91;1709.91;000;
20130919 000000;1722.34;1722.34;1722.34;1722.34;000;
20130918 000000;1725.52;1725.52;1725.52;1725.52;000;
20130917 000000;1704.76;1704.76;1704.76;1704.76;000;
20130916 000000;1697.60;1697.60;1697.60;1697.60;000;
20130913 000000;1687.99;1687.99;1687.99;1687.99;000;
20130912 000000;1683.42;1683.42;1683.42;1683.42;000;
20130911 000000;1689.13;1689.13;1689.13;1689.13;000;
20130910 000000;1683.99;1683.99;1683.99;1683.99;000;
20130909 000000;1671.71;1671.71;1671.71;1671.71;000;
20130906 000000;1655.17;1655.17;1655.17;1655.17;000;
20130905 000000;1655.08;1655.08;1655.08;1655.08;000;
20130904 000000;1653.08;1653.08;1653.08;1653.08;000;
20130903 000000;1639.77;1639.77;1639.77;1639.77;000;
20130830 000000;1632.97;1632.97;1632.97;1632.97;000;
20130829 000000;1638.17;1638.17;1638.17;1638.17;000;
20130828 000000;1634.96;1634.96;1634.96;1634.96;000;
20130827 000000;1630.48;1630.48;1630.48;1630.48;000;
20130826 000000;1656.78;1656.78;1656.78;1656.78;000;
20130823 000000;1663.50;1663.50;1663.50;1663.50;000;
20130822 000000;1656.96;1656.96;1656.96;1656.96;000;
20130821 000000;1642.80;1642.80;1642.80;1642.80;000;
20130820 000000;1652.35;1652.35;1652.35;1652.35;000;
20130819 000000;1646.06;1646.06;1646.06;1646.06;000;
20130816 000000;1655.83;1655.83;1655.83;1655.83;000;
20130815 000000;1661.32;1661.32;1661.32;1661.32;000;
20130814 000000;1685.39;1685.39;1685.39;1685.39;000;
20130813 000000;1694.16;1694.16;1694.16;1694.16;000;
